Commit Hash,Aurthor,Week Day,Day,Month,Year,Date,Time,Time Zone,Subject
30550f3,daflair,Wed,28,Mar,2012,2012-03-28,18:38:02,-0400,Refactoring Components in to Packages
dbde121,daflair,Tue,27,Mar,2012,2012-03-27,20:21:09,-0400,Working on obj/h callbackEvent consistency
70b6073,daflair,Tue,27,Mar,2012,2012-03-27,18:24:58,-0400,Implementing new GrasppeEventHandler
23d0557,daflair,Mon,26,Mar,2012,2012-03-26,21:09:21,-0400,Implementing new Prototype (testing NewFigureObject)
138d153,daflair,Mon,26,Mar,2012,2012-03-26,09:24:04,-0400,Renamed isValid to validCheck
b9c8634,daflair,Mon,26,Mar,2012,2012-03-26,09:23:00,-0400,Renaming isValid to validCheck
a4a5365,daflair,Sun,25,Mar,2012,2012-03-25,07:02:44,-0400,Fixing GrasppeHandle
6fd753e,daflair,Fri,23,Mar,2012,2012-03-23,22:51:56,-0400,Removing default statements
eb62290,daflair,Fri,23,Mar,2012,2012-03-23,22:51:30,-0400,Removing default statements (in progress)
078fea4,daflair,Fri,23,Mar,2012,2012-03-23,14:38:37,-0400,Reimplemented UniformityDataSource w/ Parameters model
94dd376,daflair,Thu,22,Mar,2012,2012-03-22,19:27:11,-0400,Implementing DynamicMediator (success)
7c2ac47,daflair,Thu,22,Mar,2012,2012-03-22,18:09:52,-0400,"Implementing Dynamic Mediator, Fixed MetaProperties"
a5c45ea,daflair,Thu,22,Mar,2012,2012-03-22,10:37:15,-0400,Fixer immutable InstanceID setting mistake
ef109c9,daflair,Wed,21,Mar,2012,2012-03-21,19:07:04,-0400,Implemented prototype MetaProperties processing
83472b4,daflair,Wed,21,Mar,2012,2012-03-21,08:54:40,-0400,"Implementing Mediator-Delegate pattern, Implementing debugPrint (extend runlog)"
2ac33ef,daflair,Wed,21,Mar,2012,2012-03-21,07:23:06,-0400,Implementing Mediator-Delegator pattern
e684a97,daflair,Tue,20,Mar,2012,2012-03-20,08:38:55,-0400,Added GrasppePrototype Super Class
419807e,daflair,Sun,18,Mar,2012,2012-03-18,10:18:49,-0400,Implemented Prototype-Folders Search Path
271878a,daflair,Sun,18,Mar,2012,2012-03-18,10:18:25,-0400,Implemented Prototype-Folders Search Path
c9bb3f0,daflair,Sun,18,Mar,2012,2012-03-18,07:34:33,-0400,Fixed decorator loading order problems
e7559d4,daflair,Fri,16,Mar,2012,2012-03-16,21:22:53,-0400,"Improved Dynamic Decorator, implemented OverlayText"
af643a7,daflair,Fri,16,Mar,2012,2012-03-16,19:54:00,-0400,Fixed & Improved mouse events
53ac41a,daflair,Thu,15,Mar,2012,2012-03-15,23:04:50,-0400,Implemented working MousePan & improved EventHandler
be18938,daflair,Thu,15,Mar,2012,2012-03-15,20:12:21,-0400,"Improving DataSources, so, Alpha now broken!"
